Data Source,World Development Indicators,,,,,,,,,,,
,,,,,,,,,,,,
Last Updated Date,23/11/2021,,,,,,,,,,,
,,,,,,,,,,,,
Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,48.90444,48.36479,49.60621,48.39335,48.16626,,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,
Afghanistan,AFG,39.34104,40.47591,40.71588,40.11072,39.95768,39.38989,39.35422,39.26577,38.95507,,
Africa Western and Central,AFW,,,,,,,,,,,
Angola,AGO,44.73841,38.91205,,,,46.86435,,,,,
Albania,ALB,47.56496,47.42465,47.22893,47.14702,47.31709,47.11129,47.24054,47.16191,47.42217,,
Andorra,AND,48.15663,47.78325,47.02179,47.12389,47.10947,47.23823,47.0339,48.06474,47.83815,,
Arab World,ARB,46.91553,46.78595,47.08889,47.12151,47.26801,47.34594,47.36851,47.45282,47.47494,,
United Arab Emirates,ARE,48.58966,48.63684,48.60735,48.73609,48.88817,48.92543,48.11266,49.0298,,,
Argentina,ARG,48.79207,48.81167,48.80953,48.89107,49.04683,49.06351,49.03375,49.04022,,,
Armenia,ARM,46.8115,46.64414,46.6657,46.75479,46.81617,46.89206,46.78915,46.73183,46.70534,,
American Samoa,ASM,,,,,,,,,,,
Antigua and Barbuda,ATG,47.33428,47.67388,48.21582,,48.1223,48.53627,,49.01468,49.20478,,
Australia,AUS,48.59299,48.59964,48.56895,48.57571,48.55813,48.60404,48.64006,48.67265,,,
Austria,AUT,48.42035,48.50023,48.5654,48.52027,48.62456,48.51408,48.54505,48.50624,,,
Azerbaijan,AZE,46.44202,46.13017,46.1564,45.90044,46.41516,46.15745,46.14238,46.65183,46.3142,,
Burundi,BDI,49.67006,50.10443,50.30235,50.36854,50.67554,50.58145,50.40497,50.19921,50.11885,,
Belgium,BEL,48.86418,48.83311,48.77118,48.91924,48.89758,48.8707,48.8727,48.87076,,,
Benin,BEN,46.46604,46.55091,46.8943,47.10806,47.34518,47.49697,47.65223,47.61252,47.67029,,
Burkina Faso,BFA,46.77202,47.22774,47.73823,48.25086,48.43325,48.44774,48.56315,48.74619,48.71518,,
Bangladesh,BGD,50.50598,,,,,,,50.6819,50.7497,,
Bulgaria,BGR,48.47584,48.40485,48.29973,48.29211,48.34145,48.30992,48.33473,48.47015,,,
Bahrain,BHR,,48.98644,48.82543,49.16953,49.23704,49.23535,49.31493,49.41042,49.38092,,
"Bahamas, The",BHS,49.55705,49.63821,49.5085,49.48921,49.63886,49.41777,50.17126,,49.56616,,
Bosnia and Herzegovina,BIH,48.8592,48.63383,48.63102,48.61439,48.60548,48.68873,48.49901,48.47879,48.53871,,
Belarus,BLR,48.60898,48.62225,48.67957,48.70541,48.71401,48.64398,48.6449,48.44882,48.51596,,
Belize,BLZ,48.67616,48.54949,48.72866,48.35182,48.15114,48.03733,47.87992,47.79857,47.73658,,
Bermuda,BMU,,48.65424,48.29222,48.4231,48.34146,48.63757,,,,,
Bolivia,BOL,48.83759,48.77395,48.61792,48.41253,48.36144,48.42958,48.52877,48.60395,48.67685,,
Brazil,BRA,47.23665,47.33328,47.42665,47.76243,47.88528,47.92504,47.94264,47.90777,,,
Barbados,BRB,49.15045,48.64721,,,48.87818,48.74934,49.01355,48.29278,48.32328,,
Brunei Darussalam,BRN,48.29809,48.37663,48.38725,48.56498,48.65135,48.49122,48.43962,48.40192,48.56861,,
Bhutan,BTN,49.88629,49.68026,49.69568,49.55858,49.64639,49.54326,49.38854,49.22386,49.2808,,
Botswana,BWA,,,48.9852,48.8289,48.71881,48.86193,,,,,
Central African Republic,CAF,41.8763,42.37241,42.9607,,,,43.61322,,,,
Canada,CAN,48.75546,48.7463,48.79842,48.81943,48.89092,48.86873,48.76606,48.74999,,,
Central Europe and the Baltics,CEB,48.46409,48.495,48.5774,48.56704,48.57671,48.60799,48.62606,48.62682,48.62807,,
Switzerland,CHE,48.44429,48.39938,48.48262,48.52524,48.63092,48.58554,48.52791,48.5495,,,
Channel Islands,CHI,,,,,,,,,,,
Chile,CHL,48.36477,48.28799,48.29523,48.31045,48.32949,48.34292,48.3716,48.39668,,,
China,CHN,46.23675,46.18944,46.19911,46.33465,46.33884,46.31926,46.33798,46.42197,46.47985,,
Cote d'Ivoire,CIV,,45.3226,45.68745,46.13392,46.36633,46.71188,47.1361,47.53503,47.90466,,
Cameroon,CMR,46.00207,46.16698,46.35875,,46.75854,46.95594,47.00528,46.99812,47.0142,,
"Congo, Dem. Rep.",COD,46.28127,46.26184,46.57256,47.22433,47.28286,49.46434,,,,,
"Congo, Rep.",COG,48.32809,48.28505,51.5011,,,,,,,,
Colombia,COL,48.50103,48.07808,48.0962,48.26944,48.09721,48.11949,48.20983,48.09866,48.13149,,
Comoros,COM,,44.98645,,47.65447,47.37708,,,48.03361,49.0784,,
Cabo Verde,CPV,47.94472,47.92737,47.70481,47.81165,47.77017,47.93382,47.90909,47.84845,47.80358,,
Costa Rica,CRI,48.37777,48.42207,48.47772,48.53736,48.63,48.70302,48.98793,49.12335,49.0634,,
Caribbean small states,CSS,48.5902,48.71057,48.8136,48.50595,48.61378,49.2835,48.68865,48.68558,48.45279,,
Cuba,CUB,48.09275,48.08963,48.14428,48.20672,47.32015,47.117,47.32168,47.2873,47.48721,,
Curacao,CUW,,,,47.98674,,,,,,,
Cayman Islands,CYM,,50.31368,50.03719,49.6962,,,,,48.38334,,
Cyprus,CYP,48.58045,48.51115,48.58675,48.61751,48.57234,48.64709,48.80365,48.76839,,,
Czech Republic,CZE,48.52716,48.52618,48.63755,48.68389,48.68149,48.77199,48.81775,48.82027,,,
Germany,DEU,48.63413,48.60196,48.64662,48.53027,48.53889,48.559,48.5702,48.54918,,,
Djibouti,DJI,,46.98813,46.75847,46.26152,45.95687,46.4204,46.4092,46.51554,46.14395,46.36031,
Dominica,DMA,48.93094,49.11526,48.6002,48.66896,49.17479,48.65295,48.40912,,,,
Denmark,DNK,48.83474,48.69894,48.64768,48.62171,48.57749,48.48251,48.44305,48.48526,,,
Dominican Republic,DOM,45.98293,46.62483,46.62805,46.7457,46.71394,46.8401,47.13026,47.34685,47.57349,,
Algeria,DZA,47.33514,47.36534,47.54499,47.66131,47.73204,47.76413,47.69204,47.72111,47.82363,,
East Asia & Pacific (excluding high income),EAP,47.27971,47.25273,47.11896,47.13927,47.09326,47.00652,47.04672,47.06447,47.09131,,
Early-demographic dividend,EAR,48.10022,48.17779,48.18248,48.93784,48.85471,48.89737,49.3457,49.24976,49.19061,,
East Asia & Pacific,EAS,47.36416,47.33989,47.21518,47.23523,47.19592,47.11611,47.15401,47.17031,47.19927,,
Europe & Central Asia (excluding high income),ECA,48.60587,48.61439,48.58063,48.62569,48.67848,48.65931,48.63628,48.54736,48.53897,,
Europe & Central Asia,ECS,48.57447,48.60429,48.61662,48.66541,48.6881,48.67901,48.6667,48.58337,48.5804,,
Ecuador,ECU,48.98238,49.03322,49.12732,49.04825,49.01165,49.03968,49.13981,49.21297,49.3201,,
"Egypt, Arab Rep.",EGY,47.85334,47.40263,48.1877,48.28475,48.42062,,48.51585,48.57092,48.59901,,
Euro area,EMU,48.51815,48.55587,48.59042,48.61978,48.6179,48.6204,48.63118,48.52864,48.5298,,
Eritrea,ERI,45.1778,44.77621,44.82969,50.139,45.07251,45.28428,,45.17981,45.10555,,
Spain,ESP,48.45301,48.46048,48.42678,48.81407,48.82143,48.82664,48.78532,48.7832,,,
Estonia,EST,48.27222,48.56544,48.62288,48.56829,48.54627,48.64688,48.59703,48.52191,,,
Ethiopia,ETH,47.47313,47.40281,47.62088,,47.36957,47.10823,,,,,
European Union,EUU,48.53975,48.58345,48.6259,48.67525,48.6753,48.67611,48.67612,48.59824,48.59998,,
Fragile and conflict affected situations,FCS,45.79002,45.92697,46.0996,46.23835,46.31878,46.75802,46.87408,46.88856,46.93447,,
Finland,FIN,48.74431,48.69667,48.67917,48.70649,48.80148,48.77024,48.80921,48.77387,,,
Fiji,FJI,,48.21569,48.42963,48.49529,,48.12604,48.16712,,,,
France,FRA,48.52751,48.73547,48.82799,48.75074,48.73742,48.71999,48.70194,48.72785,,,
Faroe Islands,FRO,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,47.94157,48.22649,,,,,
Gabon,GAB,,48.82527,,,,,,,,,
United Kingdom,GBR,48.66789,48.76867,48.80879,48.77372,48.79313,48.81759,48.81413,48.79284,,,
Georgia,GEO,47.06731,47.03701,46.66469,46.72047,46.82875,47.16973,47.30088,47.57185,47.71194,,
Ghana,GHA,,48.73102,48.91687,48.94636,48.95182,48.96308,49.28661,49.23339,49.27979,49.31331,
Gibraltar,GIB,,,,,,,49.03433,49.15314,,,
Guinea,GIN,44.75541,45.60272,45.351,45.39575,45.49672,,44.67386,,,,
"Gambia, The",GMB,50.28535,50.55822,50.7165,50.68312,50.94779,51.21583,51.38358,51.56172,51.81304,,
Guinea-Bissau,GNB,48.33985,,,,,,,,,,
Equatorial Guinea,GNQ,49.10241,49.29798,49.22796,,,49.09739,,,,,
Greece,GRC,48.53751,48.55687,48.50804,48.47806,48.51301,48.47475,48.48518,48.52352,,,
Grenada,GRD,47.98361,,,47.7371,48.30411,47.79472,47.87057,47.40048,48.21523,,
Greenland,GRL,,,,,,,,,,,
Guatemala,GTM,48.49939,48.58692,48.42527,48.26144,48.20042,48.148,48.11372,48.1633,48.26948,,
Guam,GUM,,,,,,,,,,,
Guyana,GUY,48.77218,48.85772,49.18614,,,,,,,,
High income,HIC,48.5905,48.73527,48.61992,48.6736,48.71525,48.79752,48.75495,48.71156,48.7117,,
"Hong Kong SAR, China",HKG,47.86042,47.87644,47.91636,47.9127,47.98085,47.95613,47.9031,47.85527,47.79839,,
Honduras,HND,49.01169,48.92779,48.86997,48.74286,48.59266,48.83398,48.86704,48.96619,,,
Heavily indebted poor countries (HIPC),HPC,47.41034,47.55332,47.67172,47.78038,47.811,48.0141,48.10503,48.1499,48.13873,,
Croatia,HRV,48.67305,48.56029,48.63547,48.70129,48.53842,48.67051,48.79614,48.75395,,,
Haiti,HTI,,,,,,,,,,,
Hungary,HUN,48.41289,48.42716,48.411,48.36432,48.4128,48.5505,48.62169,48.5802,,,
IBRD only,IBD,47.62032,47.58599,47.61763,48.30871,48.32287,48.34402,48.76294,48.67083,48.66838,,
